Questions,class
set quantum number   ml  notpermitted rule quantum mechanic,chemistry
many unpaired electron gaseous iron atomin ground state,chemistry
evidence electron arrangement atom beenobtained primarily study,chemistry
statement radius atom ionsis correct,chemistry
atom li  na arranged order ofincreasing atomic radius correct order,chemistry
type radioactive decay produce daughternucleus higher atomic number,chemistry
specie central atom surrounded byexactly  valence electron,chemistry
pair formula specie polar,chemistry
nitrite ion berepresentedwhich structuresii represent possible resonance form ion,chemistry
statement true stable lewisstructure,chemistry
molecule    arranged order ofincreasing bond strength order correct,chemistry
molecule contains three sigma two pi bond,chemistry
compound aldehyde,chemistry
many isomer exist dibromobenzene,chemistry
name forthe compound thestructure,chemistry
thehybridization carbonatoms    thestructure,chemistry
egg white coagulated protein said,chemistry
œaq haq ka  ×,chemistry
benzoic acid   dissociates water shown th  equation  ml sample aqueous solution pure benzoic acid titrated using standardized  naoh addition  ml  naoh ph resulting solution  calculate following  solution ii oh œ solution iii number mole naoh added iv number mole   œaq solution  number mole   solution  state whether solution equivalence point titration acidic basic neutral explain reasoning different titration   sample mixture solid   solid nacl dissolved water titrated  naoh equivalence point reached  ml base solution added  calculate following mass gram benzoic acid solid sample ii mass percentage benzoic acid solid sample,chemistry
answer following question voltaic cell voltaic cell set using alal  one halfcell snsn  halfcell halfcells contain equal volume solution standard condition write balanced netionic equa tion spontaneous cell reaction ii determine value volt standard potential  spontaneous cell reaction iii calculate value standard freeenergy change  spontaneous cell reaction include unit answer iv cell operates al   alal  halfcell sn  snsn  halfcell  another voltaic cell alal  snsn  halfcells sn   al   calculate value volt cell potential ecell,chemistry
answer following question th ermodynamics reaction represented reaction    iclg fh  kj        reaction   ibrg fh  kj       reaction  represented spontaneous sta ndard condition justify answer calculation  calculate value equilibrium constant keq reaction    effect increase temperatur  equilibrium constant reaction  explain answer explain standard entropy change greater reaction reaction   temperature value equilibrium constant reaction greater  justify answer calculation  vaporization solid iodine   value    kj mol  using information calculate value   reaction represented    iclg,chemistry
write formula show reactant pro duct five la boratory situation described answer five choice graded case reaction occurs assume solution aqueous unless otherwise indicated represent substance solution ion substance extensively ionized omit formula ion mol ecules unchanged reaction need balance equation example strip magnesium added solution silver nitrate solid calcium carbonate strongly heated  strip magnesium metal pl aced solution ironii chloride  boron trifluoride gas mixed ammonia gas excess concentrated hydrochloric acid added solution nickelii nitrate  solid ammonium chloride added solution potassium hydroxide  propanal burned air  strip aluminum foil placed liquid bromine  solid copperii sulfide strongly heated air,chemistry
student carry experiment determine equilibrium constant reaction colorimetric spectrophotometric analysis produc tion redcolored specie fescn  monitored optimum wavelength measurement fescn  must first determined plot absorbance versus wavelength fescn  given optimum wavelength experiment justify answer  calibration plot concentration fescn  prepared optimum wavelength data give absorbance measured set solution known concentration fescn  concentration mol  − absorbance  ×     ×     ×     ×     ×     draw beer™ law calibration plot data grid indicate scale horizontal axis labeling appropriate value ii fescn  solution unknown concentration absorbance  use plot drew part determine concentration mole per liter solution  purpose experiment determine eq uilibrium constant reaction represented  scnœaq  write equilibriumconstant expression kc ii student combine solution feno  kscn produce solution initial concentration fe  scnœaq  ×   absorbance solution measured equilibrium fescn  concentration found  ×   determine value kc student™ equilibrium fescn  solution unknown concentration fade lighter color student measure absorbance calculated value kc high low unaffected justify answer   secl  icl  icl,chemistry
specie represented num ber chlorine atom attached central atom draw lewis structure electrondot diagram  ach four specie show valence electron structure  basis lewis structure drawn part answer following question particular specie indicated clœgeœcl bond angle gecl  ii secl  polar explain iii hybridization atom icl  iv geometric shape formed atom icl   ap® chemistry freeresponse question form   answer either question  question  one two question graded start question sure cross question wa nt graded section ii score weighting question choose  percent,chemistry
account following observation term atomic theory andor quantum theory atomic size decrease na cl periodic table  boron commonly form molecule type bx  molecule trigonal planar structure  first ionization energy  le na element display unique gasphase emission spectrum,chemistry
use chemical physical principle account following aluminum container filled aqueous solution cuso  eventually developed leak include chemical equation answer  inside metal container cleaned steam immediately sealed later container imploded  skin feel cooler rubbing alcohol applied redness itching skin caused ant bite injection methanoic acid hco  relieved applying paste made water baking soda olid sodium hydrogen carbonate include chemical equation answer,chemistry
point total write arrowpushing mechanism reaction hh oheathhnmeoonote aste risk  mit ocw,chemistry
point total compound prepared   spectroscopic data listed draw structure box provided write arrowpushing mechanism formation   space                            nmr ppmir figure mit ocw,chemistry
point total  point per box following  structure write number chemically nonequivalent number ﬁdifferent typesﬂ hydrogen carbon appropriate box careful put number correct box œ can™ read mind ie wrong number receive credit œ exception  nonequivalent  nonequivalent   figure mit ocw  nonequivalent  nonequivalent  memememefmememeoghmemehohijmeme figure mit ocw  nonequivalent  nonequivalent  oohnmemeomememenooofigure mit ocw,chemistry
point alcohol roh treated sodium hydride  give compound molecular weight  using  nmr data listed determine structure product starting alcohol draw structure box provided draw heredraw roh  nah thf    nmr data  ddd      dd    dd            figure mit ocw,chemistry
point room temperature compound  converted compound  high yield using data provided determine structure  draw structure box provided write arrowpushing mechanism formation    nmr ppmdata         dq        mit ocw,chemistry
point propose synthesis   maleic anhydride benzyl bromide bnbr  substituents fivemembered ring  ci one another synthesis must establish relative configuration synthesis must use  maleic anhydride bnbr may use reagent addition write synthesis neatly forward direction transformation write reagent necessary arrow  mit ocw ooobnobnoobnobnobnobnall cisghmaleic anhydride,chemistry
point box  point total please provide indicated information use base acid please specify whether ﬁcatalytic amountﬂ  equivalentﬂ etc required  mit ocw,chemistry
point please provide efficient synthesis indicated target compound carbon target compound must come methyl acetate  acetatetarget compound figure mit ocw,chemistry
point strecker reaction followed hydrolys reaction excellent method synthesizing amino acid ar  building block protein provide best mechanism process please show arrow pushing note draw mechanism hydrolysis reaction  mit ocw,chemistry
point provide structure best mechanism illustrated transformation please show arrow pushing     mit ocw,chemistry
point provide best mechanism illustrated process please show arrow pushing  heat   initiation  point propagation  point please draw standard mechanism form sumlseries equation page,chemistry
point provide best mechanism illustrated process please show arrow pushing mechanism rationalize reaction proceeds complete retention stereochemistry ho kme  hci   ci,chemistry
point please provide detailed mechanism illustrated transformation show arrow pushing bn  hint  number carbon hint  phsh catalytic vobn  cat aibn ome cat phsh initiation propagation,chemistry
point compound converted   upon heating reaction accelerated irradiation provide structure   provide mechanism formed please show arrow pushing ome    ,chemistry
point total amazing process nature transforms squalene oxide steroid single stereoisomer process illustrated provide best mechanism please show arrow pushing squalene oxide  point squalene oxide intermediate intermediate lanosterol steroid    point intermediate lanosterol homemememememememe,chemistry
element commonly exhibit   state,chemistry
procedure best extinguish burningmagnesium,chemistry
two set reactant best represent theamphoterism   ohðaqset    haqset,chemistry
statement sulfur correct,chemistry
solution sulfuric acid water   bymass density   expressiongives molarity solution,chemistry
weighed quantity gas collected water  ¡  mmhg molar mass gas bedetermined standard temperature pressure thevapor pressure water ignored calculationwhat effect calculated pressure andcalculated molar mass gaspressuremolar mass,chemistry
solution substance acidic,chemistry
mineral trona formula  formula mass   many ml  hcl needed convert carbonate andbicarbonate   sample trona carbondioxide water,chemistry
percentage mass   cl compoundare     cl  many carbonatoms simplest formula compound,chemistry
®   maximum volume oxygen beproduced  ml  passed  gof  assume gas measured  ¡  atm,chemistry
first vertical line diagram represents athermometer boiling freezing point apure solvent numbered line represent possibleboiling freezing point solution nonvolatilesolute solvent line best represents theboiling point freezing point solution relative tovalues pure solventnote difference temperature scalesolvent     bp fp,chemistry
mass gaseous    injectedinto evacuated container produce total pressure  atm partial pressure,chemistry
phasediagram phase canexist pressure lowerthan triple pointpressuretemperature ®,chemistry
 water isintroduced  levacuated flask  ¡ mmhgwhat mass water present liquid equilibriumis established,chemistry
substance greatest lattice energy,chemistry
temperature sample  gas loweredthe pressure decrease predicted idealgas equation deviation expectedbehavior  attractive force  mass  volume molecule,chemistry
curve isproduced apure substance isheated whichcharacteristic thiscurve related thevalue theenthalpy fusion ofthe substanceheat addedabcdef,chemistry
statement correct,chemistry
®   dho  kjcalculate dhfo,chemistry
substance condition  element  kii compound  kiii gas  ,chemistry
neutralization per mole hcl,chemistry
beconcluded thevalues dh andds graph temperature  ®,chemistry
boiling point chloroform   ¡ andits enthalpy vaporization   calculatethe molar entropy vaporization chloroform,chemistry
reaction  ¡   thevalue ,chemistry
rate law reaction consumes xrate   plot give straight line,chemistry
first order reaction concentration decrease  initial value  min rateconstant,chemistry
rate reaction  ¡  time  ¡cwhat activation energy,chemistry
´  ´  ´  ´  unit rate constant reaction,chemistry
gas phase   ® hclg  reaction found experimentally follow ratelawrate    information conclusion bedrawn proposed mechanismstep  ¾    ® hclg    ®,chemistry
value equilibrium constant   ¾    value  ¾    ´  ¾    ´,chemistry
ph  msolution hydrazine  ´,chemistry
rate manycatalyzed reaction followthe profile shown thegraph thereaction rate level reactant ®,chemistry
percent ionization  solution offormic acid  ¡,chemistry
many mole sodium formate must added    formic acid solution produce phof,chemistry
titration weak base strong acidone use acidbase indicator change colorin,chemistry
solubilityof calcium hydroxidein  hydroxide  ´,chemistry
average oxidation number tungsten theion,chemistry
many mole electron must removed fromeach mole toluene  oxidized tobenzoic acid,chemistry
value eo voltaic cell based thisreactionreactione  ® cu   ® al  ,chemistry
value used  nernst equation todetermine effect change   reaction,chemistry
given standard reduction potential determinethe reduction potential    ®    eð®     ®   ,chemistry
many faraday required reduce thechromium  ,chemistry
list element arranged order ofincreasing first ionization energy,chemistry
quantum number associated shape ofan atomic orbital,chemistry
ion li na   twoare closest one another size,chemistry
electron configuration gas phase  ionof iron ,chemistry
  isotope range      notradioactive mode radioactive decay wouldconvert     stableisotopes quickly,chemistry
oxide exist individual,chemistry
many sigma pibonds thiscompoundcooh,chemistry
pair ion shape,chemistry
resonance form make greatest contribution tothe structure,chemistry
specie strongest oxygenoxygen bondaccording molecular orbital theory,chemistry
many atom covalently bonded chromiumatom,chemistry
carbonoxygen bond    arranged order increasing length isthe correct order,chemistry
reaction oxidation carboncontaining molecule shown,chemistry
molecular formula indigo,chemistry
hybridization carbon atom bonded tooxygen,chemistry
dissolve well waterwhich reagent could used increase aqueoussolubility,chemistry
molecule reacts rapidly water,chemistry
element found hemoglobin,chemistry
sample solid   placed rigid   flask chlorine gas cl  added flask heated  equation reaction take place equilibriumconstant expression reaction given    cl   uo     pppkp system equilibrium partial pressure cl   atm partial pressure     atm calculate partial pressure  equilibrium  cb calculate value equilibrium constant kp system  cc calculate gibbs freeenergy change  reaction  cd state whether entropy change reaction   positive negative zero justify answer  state whether enthalpy change  reaction   positive negative zero justify answer  certain period time  mol  added mixture flask mass  flask increase decrease remain justify answer,chemistry
answer following problem gas average atomic mass naturally occurring neon  amu two common isotope naturally occurring neon indicated table isotope mass amu     using information calculate percent abundance isotope ii calculate number  atom   sample naturally occurring neon  major line emission spectrum neon corresponds frequency    calculate wavelength nanometer light corresponds line  upper atmosphere ozone molecule decompose absorb ultraviolet uv radiation shown equation ozone serf block harmful ultraviolet radiation come sun    molecule  absorbs photon frequency     much energy joule  molecule absorb per photon ii minimum energy needed break oxygenoxygen bond ozone  kj mol  photon frequency    enough energy break bond support answer calculation,chemistry
hydrogenoxygen fuel cell energy produced overall reaction represented fuel cell operates    atm  minute  mol  consumed calculate volume   consumed time period express answer liter measured    atm  given fuel cell reaction take place acidic medium write two half reaction occur cell operates ii identify half reaction take place cathode iii determine value standard potential  cell  calculate charge coulomb pass cell  minute operation described part stopif finish time called may check work part turn part test told,chemistry
following three reaction part write balanced equation reaction part ii answer question reaction part coefficient term lowest whole number assume solution aqueous unless otherwise indicated represent substance solution ion substance extensively ionized omit formula ion molecule unchanged reaction may use empty space bottom next page scratch work equation written answer box provided graded solid ammonium carbonate decomposes heated balanced equation ii predict algebraic sign reaction explain reasoning  chlorine gas oxidizing agent bubbled solution potassium bromide balanced equation ii oxidation number chlorine reaction occurs oxidation number chlorine reaction occurs  small piece sodium placed beaker distilled water balanced equation ii reaction exothermic sometimes small flame observed sodium reacts water identify product reaction burn produce flame answer question  question  section ii score weighting question  percent response question graded basis accuracy relevance information cited explanation clear well organized example equation may included response appropriate specific answer preferable broad diffuse response,chemistry
answer following question laboratory situation involving acid base buffer solution lactic acid hc  reacts water produce acidic solution shown complete lewis structure reactant space provided complete equation drawing complete lewis structure reaction product  choosing chemical equipment listed describe prepare  ml  maqueous solution nh  molar mass   mol  include specific amount equipment appropriate   ml buret  ml graduated cylinder  ml pipet distilled water  ml beaker  ml volumetric flask balance  two buffer solution containing acetic acid sodium acetate prepared student add  mol hcl   buffer solution   distilled water table show ph measurement made  mol hcl added ph hcl addedph hcl added distilled   buffer   buffer   write balanced netionic equation reaction take place hcl added buffer  buffer  ii explain ph buffer  different ph buffer   mol hcl added iii explain ph buffer  ph buffer   mol hcl added first ionization energy kj  energy kj  ionization energy kj      element     element     element,chemistry
table show first three ionization energy atom four element third period periodic table element numbered randomly use information table answer following question element metallic character explain reasoning  identify element  explain reasoning  write complete electron configuration atom element  expected oxidation state common ion element   chemical symbol element   neutral atom four element smallest radius,chemistry
point total  point per box box draw structure major product reaction indicate relative stereochemistry appropriate reaction occurs put large  box note ﬁdﬂ deuterium    efghhfigure mit ocw  continued œ see previous page direction     excess  mit ocw,chemistry
point total draw orbitals shading lobe appropriately energy level   point  write number node box left orbital array  point  ground state  draw electron population orbital line right bital array electron clearly indicate whether ﬁspin upﬂ ﬁspin dow nﬂ electron given orbital leave blank  point orbitals  point per  point per orbital  point electron populationefigure mit ocw  continued reaction shown indicate wh ich energy level used predict stereochemical outcome shading appropriate lobe entire orbital array methyl group omitted clarity draw  box reaction arrow write conrotatory disrotatory appropriate  box right reaction arrow draw major product reaction clearly indicating relative stereochemistry  memememememememeheatheathnhnshade appropriate lobeswrite conrotatory disrotatorydraw major product show  point  point  point eachfigure mit ocw,chemistry
point total using retrosynthetic analysis propose synthesis molecule right may use reagent wish long starting material reagent used install carbon found final product target molecule  carbon atom example  benzene would acceptable benzyl bromide phch  would omehmehohtarget molecule write synthesis ﬁforwardﬂ direction showing step reagent necessary may include solvent required draw box around circle final synthesis hint use dielsalder reaction,chemistry
heated hydrogen sulfide gas decomposes according equation   sample   introduced evacuated rigid   container sealed container heated     mol  present equilibrium awrite expression equilibrium constant kc decomposition reaction represented bcalculate equilibrium concentration mol   following gas container   ih   value equilibrium constant kc decomposition reaction   dcalculate partial pressure  container equilibrium   efor reaction       calculate value equilibrium constant kc,chemistry
following question relate electrochemical reaction aunder standard condition   zn reacts co  produce co siwrite balanced equation oxidation half reaction iiwrite balanced netionic equation overall reaction iiicalculate standard potential  overall reaction  cbat     decomposes according following equation          idetermine value standard free energy change  reaction  ciidetermine value equilibrium constant keq reaction  ciiithe standard reduction potential  half reaction    aq      value   using information addition information given determine value standard reduction potential  half reaction    aq    electrolytic cell cu produced electrolysis cuso  calculate maximum mass cu deposited direct current  ampere passed    cuso  period  hour,chemistry
following question bec  hydrate acalculate mass percent carbon hydrated form solid formula bec   heated   bec   dehydrates completely represented bec   bec       bec   heated   calculate ithe mass bec  formed iithe volume   released measured    mm hg ca   sample anhydrous bec  contains inert impurity dissolved sufficient water produce  ml solution  ml portion solution titrated kmno  balanced equation reaction occurred follows  haq  mno      mn   co     volume  kmno  required reach equivalence point  ml iidentify reducing agent titration reaction iifor titration equivalence point calculate number mole following reacted  total number mole   present  ml prepared solution ivcalculate mass percent bec  impure   sample,chemistry
formula show reactant product five laboratory situation described answer five choice graded case reaction occurs assume solu tions aqueous unless otherwise indicated represent substance solution ion substance extensively ionized omit formula ion molecule unchanged reaction need balance equation example strip magnesium added solution silver nitrate aa small piece calcium metal added hot distilled water bbutanol burned air cexcess concentrated ammonia solution added solution nickelii sulfate da solution copperii chloride added solution sodium sulfide ea solution tinii nitrate added solution silver nitrate fexcess hydrobromic acid solution added solution potassium hydrogen carbonate gpowdered strontium oxide added distilled water hcarbon monoxide gas passed hot ironiii oxide,chemistry
molar mass unknown solid nonvolatile nonelectrolyte determined freezingpoint depression method pure solvent used experiment freeze   known molal freezingpoint depression constant kf assume following material also available test tube stirrer pipet thermometer balance beaker stopwatch graph paper hotwater bath iceausing two set ax provided sketch cooling curve pure solvent ii solution cooled    cbinformation graph may used determine molar mass unknown solid idescribe measurement must made determine molar mass unknown solid method iishow setup calculation must performed determine molar mass unknown solid experimental data iiiexplain difference two graph part used obtain information needed calculate molar mass unknown solid csuppose experiment significant unknown amount solvent evaporates test tube effect would calculated value molar mass solid ie large small effect justify answer dshow setup calculation percentage error student ™ result student obtains value   mol  molar mass solid actual value   mol   ,chemistry
reaction represented areferring data table calculate standard enthalpy change  reaction  sure show work  gno  enthalpy formation dhf   bmake qualitative prediction magnitude standard entropy change reaction  justify answer con basis answer part  predict sign standard freeenergy change gfor reaction   explain reasoning duse information table write ratelaw expression reaction explain obtained answer experiment number initial    mol   rate formation         following threestep mechanism proposed reaction identify step must slowest order mechanism consistent ratelaw expression derived part explain step io   iio    iiino,chemistry
following question element selenium se atomic number  asamples natural selenium contain six stable isotope term atomic structure explain isotope common differ bwrite complete electron configuration eg    etc selenium atom ground state indicate number unpaired electron groundstate atom explain reasoning cin term atomic structure explain first ionization energy selenium iless bromine atomic number  iigreater tellurium atomic number  dselenium reacts fluorine form sef  draw complete lewis electrondot structure sef  sketch molecular structure indicate whether molecule polar nonpolar justify answer,chemistry
volume  ml  nh  titrated  hcl aq value basedissociation constant kb nh  water     cawrite netionic equation reaction nh  hcl aqbusing ax provided sketch titration curve result total  ml  hcl aq added dropwise  ml volume   table select appropriate indicator titration justify choice indicatorp kamethyl  bromothymol   dif equal volume  nh   nh  mixed resulting solution acidic neutral basic explain,chemistry
point   sooh oo ii ii  rank order  reactivity  reactive  rank order leaving group ability  best leaving group  rank order nucleophilicity  best nucleophile rank order alkene stability  stable  rank order radical stability  stable  circle best solvent  reaction initial point,chemistry
point draw structure product following reaction indicate stereochemistry appropriate reaction write ònró br br nacn  dmf  dmf cl   cl  ok cl  tbuoh initial point,chemistry
point draw structure starting material following reaction  cl hbr br  br nb  hv,chemistry
point draw structure   hv nacn dmf  initial point,chemistry
point draw structure starting material reagent   thefollowing reaction mg ether   oh ba,chemistry
point draw structure starting material reagent   thefollowing reaction bd  initial point,chemistry
point draw major product detailed mechanism following reactionsspecify correct stereochemistry appropriate oka tbuoh br etoetoh  initial point,chemistry
point draw detailed mechanism account following product br    initial point,chemistry
point circle reaction synthetically usefuiegive one majorproduct  hv  hv nb hv nb hv initial point,chemistry
point circle heterocycle aromatic  sb  nh nh,chemistry
point draw dipole moment calicene one fexample  calicene,chemistry
point molecule stable explain  sentence initial point  credit compound shown aromatic explain draw picture amodel help explain reasoning,chemistry
glyoxal consists      mass empirical formula glyoxal,chemistry
many hydroxide ion  mol mgoh,chemistry
sample consisting  mol nabr  mol ki mass percent iodine,chemistry
concentration chloride ion solution formed mixing  ml  nacl solution  ml  mgcl  solution,chemistry
barium chlo ride reacts sodium sulfate according following equation bacl  aq na   aq baso   nacl aq student mix solution containing   bacl   solution containing   na    obtains   baso   percent yield reaction,chemistry
aqueous solution highest boiling point,chemistry
white ionic solid dissolved water addition solution sodium chloride solution result white precipitate cation original ionic solid,chemistry
element solid room temperature soft enough cut ordinary knife placed water element reacts violently element,chemistry
solution salt basic,chemistry
addition small amount solid  hcl result gas evolution zn ii na,chemistry
student determines acetic acid concentration sample distilled vinegar titration  ml vinegar standardized sodium hydroxide soluti using phenolphthalein indicator error give acetic acid content vinegar low,chemistry
piece equipment would give precise delivery  ml solution,chemistry
sample neon gas held  oc  atm cylinder movable piston condition gas occupies   volume gas occupy    atm,chemistry
normal boiling point molecula  fluorine chlorine bromine iodine increase order following statement account increase,chemistry
quartz sio  common mineral found surface earth best explanation fact quartz hard high meltin  point,chemistry
critical point carbon dioxide    atm condition carbon dioxide liquid    atm    atm,chemistry
lattice energy energy required separate ion ionic solid mgo much larger fwh contributes th  difference,chemistry
best describes bonding cu,chemistry
sample   methanol heated     much heat required specific heat capacity methanol   ,chemistry
standard enthalpy change reaction       kj mol        kj mol   following reaction,chemistry
temperatur  following reaction equilibrium substance standard pressure assume entropy enthalpy reaction vary temperature pcl  cl  pcl  substance hf kj mol   mol   pcl       pcl,chemistry
bond dissociation enthalpy bde hf   bde kj mol  bond bde kj mol  hh  oo  oh  oo,chemistry
following true spontaneous process system constant temperature pressure ssys ssurr  gsys,chemistry
  hocl       cl    hocl   eq  ,chemistry
elemental bromine formed according equation rate   rate bromide ion consumed  br aq bro  aq   aq  br  aq    ,chemistry
thallium  radioactive isotope used image heart ha lf life  long would take sample thallium  decay  original activity,chemistry
reaction crh    aq scn aq crh   scn  aq    following data collected crh    scn rate hr                 rate law reaction,chemistry
following way may catalyst increase rate reaction may alter rate law ii may decrease overall activation energy,chemistry
exothermic reaction following best describes effect increasing temperature forward reverse reaction,chemistry
reaction tert butyl bromide azide ion aqueous solution proposed proceed following mechanism ch   cbr aq ch    aq br aq ch    aq   aq ch   cn  aq assuming ch    aq achieves steady st ate concentration making assumption relative magnitude three rate constant rate law reaction,chemistry
solution grea test percent ionization,chemistry
calcium oxalate cac    dissolve extent  mg    sp,chemistry
concentration solution   co  ph    co       ,chemistry
 weak base titrated  aqueous hcl give data shown identity base,chemistry
sulfuryl chloride equilibrium sulfur dioxide chlorine gas  cl     cl   system volume   equilibrium certain temperature   cl   bar    cl   bar much number mole  cl  equilibrium change volume reduced  ,chemistry
following increase cl saturated solution agcl contact excess solid silver chloride addition agcl ii addition nh  aq,chemistry
formed cathode electrolysis aqueous agf,chemistry
following substance chlorine lowest oxidation state,chemistry
following reaction balanced ratio coefficient  aq  cu  aq  aq     cu  aq,chemistry
 followi ng reaction  al  aq  zn  al  zn  aq half reaction   al  aq   al  zn  aq   zn,chemistry
electrolysis   copperii salt required passage  current  min complete deposition copper metal copper salt,chemistry
 sp hg  cl    half reactio      hg      hg   hg  cl     hg   cl aq,chemistry
many total orbitals principal quantum number ,chemistry
addition electron gas phase si atom result release energy addition electron gas phase  atom best explanation relative electron affinity,chemistry
wavelength  spectral line helium  nm energy photon wavelength,chemistry
following gas phase ion largest number unpaired electron ground state,chemistry
mn unde rgoes radioactive decay give  cr decay mode,chemistry
orbital radial wave function shown orbital,chemistry
molecule dipole moment zero,chemistry
geometry sf,chemistry
many butadiene   cch chch,chemistry
formal charge central nitrogen lewis structure ,chemistry
show  lewis structure formamidinium ion geometry exhibited two nitrogen formamidinium ion geometry geometry ,chemistry
many unpaired electron superoxide ion,chemistry
relationship following two molecule,chemistry
wha role hydroxide ion reaction ch  ch  ch  ch  br oh ch  ch  ch  ch  oh br,chemistry
compound reacts readily crvi reagent,chemistry
structure polypropylene formed polymerization propene ch  chch,chemistry
sequence amino acid protein known,chemistry
molecule class biopolymers react water presence suitable enzyme form smaller example class biopolymers protein ii polysaccharide  ii  ii neither ii,chemistry
iupac name compound shown hclohh,chemistry
following product reaction,chemistry
iupac name,chemistry
following compound chiral,chemistry
following compound reacts fastest substrate  reaction,chemistry
following statement true following reaction,chemistry
following stable conformation,chemistry
cycloalkanes show cistrans isomerism,chemistry
following stable carbocation molecular formula,chemistry
structure product following,chemistry
following set reagent condition complete followingreaction cl,chemistry
following compound meso stereoisomer,chemistry
following molecule  br  group switch place would relationship newmolecule one,chemistry
following structure least,chemistry
following condition suitable synthesis   li cui   li cui   li cui,chemistry
particular sample compound  containing mixture  enantiomer aspecific rotation  degree specific rotation pure enantiomer compound   degree optical purity sample much enantiomer present,chemistry
following feature  reaction,chemistry
name compound shown,chemistry
major product following reaction,chemistry
reaction  chlorine presence uv light yield compound including stereoisomers molecular formula  areoptically active total number fraction isolated distillation,chemistry
relationship structure shownfhhfffhh,chemistry
enantiomer molecule  molecule  stereoisomer molecule cbut mirror image relationship ,chemistry
following statement relative stability structure shown,chemistry
studying reaction rbr  ratebelow chemist obtained    data shown right    mechanism reaction      nabr,chemistry
subatomic particle paired charge,chemistry
ground state atom element two valence electron,chemistry
atom sample element excited state brightline spectrum produced atom,chemistry
statement describes concept included wavemechanical model atom,chemistry
element modern periodic table arranged order increasing,chemistry
stp substance noble gas,chemistry
stp oxygen exists two form   two form oxygen,chemistry
statement describes chemical property sodium,chemistry
term identifies type chemical reaction,chemistry
based table atom element weakest attraction electron chemical bond,chemistry
given balanced equation   fwhich statement describes occurs reaction,chemistry
atom bond valence electron transferred one atom,chemistry
sample matter mixture,chemistry
according kinetic molecular theory collision gas particle sample ideal gas,chemistry
substance notbe broken chemical change,chemistry
temperature sample matter measure,chemistry
condition temperature pressure real gas behave like ideal gas,chemistry
ratio chromium iron carbon varies among different type stainless steel therefore stainless steel classified,chemistry
statement explains increasing temperature increase rate chemical reaction condition remain,chemistry
open flask half filled water  phase equilibrium reached,chemistry
formula represents unsaturated organic compound,chemistry
isomer octane,chemistry
formula represents hydrocarbon,chemistry
redox reaction number electron lost equal number,chemistry
electrode oxidation occur voltaic cell electrolytic cell,chemistry
based arrhenius theory potassium hydroxide dissolve water negative ion aqueous solution,chemistry
compared distilled water aqueous salt solution,chemistry
according one acidbase theory water act base water molecule,chemistry
compared halflife decay mode nuclide  nuclide,chemistry
net change occurs nuclear fusion reaction,chemistry
conclusion drawn result gold foil experiment,chemistry
electron configuration represents atom magnesium excited state,chemistry
group periodic table element atom tend notto bond atom element,chemistry
group periodic table least one element three phase matter stp,chemistry
rubidium cesium similar chemical property ground state atom element,chemistry
first five element group  considered order increasing atomic number first ionization energy,chemistry
substance table strongest intermolecular force,chemistry
ion ground state electron configuration atom argon ground state,chemistry
number pair electron shared molecule ,chemistry
statement explains cœo bond polar fœo bond,chemistry
mixture consists sand aqueous salt solution procedure used separate sand salt water,chemistry
aqueous solution mass  gram containing   calcium ion concentration calcium ion solution,chemistry
sample hydrogen gas  atmosphere   occupies volume  liter gas sample completely transferred  sealed rigid container new pressure gas sample temperature return  ,chemistry
given equation system equilibrium   energyif concentration   increased concentration,chemistry
hydrocarbon molecule seven carbon atom straight chain double bond third carbon atom fourth carbon atom chain iupac name hydrocarbon,chemistry
given balanced equation representing reactionwhich type reaction represented equation,chemistry
given diagram representing incomplete electrochemical cellsolid copper deposited one carbon electrode wire connected,chemistry
volume  naohaq needed completely neutralize  milliliter  hclaq,chemistry
equation represents spontaneous transmutation,chemistry
particle two neutron,chemistry
determine vapor pressure ethanol,chemistry
explain term particle arrangement sample solid nacl lessentropythan sample aqueous nacl,chemistry
determine molecular formula compound empirical formula  molar mass  gram per mole,chemistry
student drew lewis electrondot diagram represent sodium chloride explain diagram notan accurate representation bonding nacl,chemistry
given formula heptanal determine gramformula mass heptanal,chemistry
compare mass proton mass electron,chemistry
nature  atom carbon sample  atom space answer booklet show numerical setup calculating number  atom sample containing   carbon   question part  record answer space provided separate answer booklet base answer question   information knowledge chemistry sample substance liquid  sample heated uniformly  heating curve sample standard pressure shown,chemistry
determine boiling point sample standard pressure,chemistry
state happens potential energy particle sample time interval bc base answer question   information knowledge chemistry sample nitric acid contains    sample ph value,chemistry
write name positive ion present sample,chemistry
color methyl orange added sample base answer question   information knowledge chemistry one fission reaction  represented balanced nuclear equation      radioisotope produced fission reaction undergo beta decay halflife   second halflife   minute,chemistry
explain term bothreactants product reaction represented nuclear equation fission reaction,chemistry
complete equation answer booklet decay  writing notationfor missing product,chemistry
determine time required original  sample  decay  gram sample remains unchanged,chemistry
diagram answer booklet draw arrow represent path emittedbeta particle electric field two oppositely charged metal plate base answer question   information knowledge chemistry two naturally occurring isotope antimony   tablebelow show atomic mass percent natural abundance isotope naturally occurring isotope antimony antimony sulfur found mineral stibnite sb  obtain antimony stibnite roasted heated air producing oxide antimony sulfur unbalanced equation represents one reaction occurs roasting,chemistry
determine percent composition mass antimony stibnite gramformula mass  gmol,chemistry
space answer booklet show correct numerical setup calculating atomic mass antimony,chemistry
